"Name","Team","Ht","GP","MINS","OPPM","DPPM","PPM","PTS","ORB","DRB","AST","STL","BLK","TOV","PF","RIMA","RIM.","MIDA","MID.","TPA","TP.","FTA","FT.","TS.","eFG."
"Zach Edey","Purdue","7-4",36,1130.099,10.8,4,14.8,27.2,5.2,8.2,2.3,0.3,2.5,2.5,2.2,11.7,0.691,2.9,0.362,0.1,0.5,12.4,0.714,0.662,0.627
"Jamal Shead","Houston","6-1",37,1127.982,8,6,14,15.7,1.1,3.4,7.7,2.6,0.6,2.5,2.4,3.3,0.604,6.3,0.378,4.6,0.309,3.4,0.779,0.495,0.458
"Tristen Newton","UConn","6-5",36,1187.519,8.1,2.8,10.9,17,1.6,5.9,6.7,1.1,0.3,2.8,1.8,3.9,0.622,2.2,0.342,6.1,0.333,5.7,0.807,0.572,0.51
"Reed Sheppard","Kentucky","6-3",33,945.433,6.8,3.3,10.1,13.8,0.4,4.2,4.9,2.8,0.8,2.2,2.1,1.9,0.667,2.1,0.452,4.8,0.521,2.2,0.831,0.699,0.679
"Donovan Clingan","UConn","7-2",32,708.2,6,3.9,9.9,20.3,4.1,7.8,2.5,0.8,3.9,1.4,3.2,11.5,0.684,1,0.3,0.3,0.333,6.4,0.578,0.642,0.65
"Braden Smith","Purdue","6-0",36,1208.599,6.7,2.8,9.5,12.7,0.8,5.2,7.8,1.6,0.1,2.7,1.6,3,0.529,4,0.404,3.4,0.442,2.1,0.813,0.554,0.525
"Johni Broome","Auburn","6-10",35,873,4.9,4.6,9.5,22,3.3,8.1,2.9,1.2,3,2.1,3.2,9.6,0.647,2.6,0.403,3,0.354,7,0.615,0.594,0.583
"Robbie Avila","Indiana St.","6-10",33,1019.034,7.5,1.8,9.3,19,1.3,6.1,4.5,0.8,0.7,2,2.9,6.9,0.68,0.9,0.222,4.5,0.368,5.2,0.821,0.643,0.599
"Shahada Wells","McNeese","6-0",30,1016.616,6.2,3.1,9.3,19.3,1,3.9,5.1,3.3,0.3,2.1,1.5,7.2,0.527,3.3,0.389,4.1,0.39,5.5,0.805,0.563,0.512
"DaRon Holmes II","Dayton","6-10",33,1073.481,5.3,3.7,9,22.9,1.9,7.7,2.9,1.1,2.4,2.5,2.3,6.9,0.733,3.9,0.327,2.8,0.386,9.9,0.713,0.628,0.585
"Tyler Kolek","Marquette","6-3",31,1016.6,6.4,2.6,9,15.7,0.7,4.3,7.9,1.6,0.2,2.9,1,5.8,0.58,1.9,0.464,4,0.388,3.1,0.851,0.6,0.563
"Tamin Lipsey","Iowa St.","6-1",36,1128.183,4.3,4.6,8.9,13.9,1.4,3.8,5.5,3,0.1,2.3,2.2,4,0.566,3.6,0.31,3.6,0.391,4.1,0.705,0.528,0.49
"Anton Watson","Gonzaga","6-8",34,1077.234,5.4,3.4,8.8,15.9,2.4,5.5,2.9,1.7,0.7,1.5,2.6,6.1,0.695,3.3,0.427,1.6,0.408,4,0.656,0.615,0.602
"Chad Baker-Mazara","Auburn","6-7",35,753.834,5.7,3.1,8.8,15.2,1.3,4.2,3.3,1.6,0.7,1.7,3.7,2.5,0.561,3.5,0.412,4,0.418,5.3,0.876,0.613,0.535
"Cam Spencer","UConn","6-4",36,1179.485,6.6,2,8.6,15.9,1,3.9,4,1.6,0.2,1.2,2.3,1.6,0.623,3.2,0.514,6.3,0.432,2.5,0.916,0.641,0.606
"Jonathan Mogbo","San Francisco","6-8",31,898.367,5.3,3.3,8.6,16.7,4.1,8.2,4.4,2,1,2.3,3.3,8.8,0.723,2.8,0.319,0.1,0,3.5,0.652,0.629,0.621
"Isaiah Stevens","Colorado St.","6-0",33,1161.217,7,1.5,8.5,16.4,0.5,2.8,6.8,1.2,0.2,2.5,1.5,2.5,0.531,5.9,0.482,4.2,0.42,3.2,0.838,0.578,0.541
"KJ Simpson","Colorado","6-2",37,1296.467,6.5,1.9,8.4,19.3,0.7,5,4.8,1.6,0.1,2.1,2.4,5.5,0.553,3.3,0.407,4.8,0.434,4.9,0.876,0.607,0.553
"Ryan Nembhard","Gonzaga","6-0",34,1232.999,5.8,2.5,8.3,12.3,0.5,3.4,6.8,1.2,0,2.2,1.6,3.6,0.543,3.7,0.45,3.1,0.324,2.9,0.752,0.528,0.493
"Kyle Filipowski","Duke","7-0",35,1065.75,5.7,2.3,8,19.3,2.6,7,3.3,1.3,1.8,2.4,3.5,7.9,0.622,2.5,0.4,3.6,0.358,5.4,0.66,0.581,0.56
"Jaedon LeDee","San Diego St.","6-9",34,1131.003,5.8,2,7.8,23.2,3.6,5.3,1.5,1.3,0.6,2.5,2.7,6.4,0.695,6.4,0.447,1.3,0.429,9.4,0.731,0.623,0.576
"Coleman Hawkins","Illinois","6-10",32,1014.884,6.1,1.7,7.8,13.2,1.5,5.2,3.1,1.6,1.2,1.8,2.8,3.6,0.651,1.6,0.283,4.8,0.376,2.9,0.793,0.586,0.551
"Dylan Cardwell","Auburn","6-11",35,501.679,4.4,3.3,7.7,12.6,4.1,4.7,2.8,1.5,3.8,1.8,5.5,6.3,0.753,0.3,0.2,0.3,0.4,4.3,0.587,0.696,0.718
"Terrence Shannon Jr.","Illinois","6-6",31,1050.549,7.5,0.2,7.7,23.6,0.8,3.3,2.3,1.1,0.9,2.1,2.2,5.3,0.679,2.3,0.389,6.9,0.363,8.7,0.804,0.631,0.569
"Shykeim Phillips","UNCW","6-2",27,744.648,5.9,1.8,7.7,18.9,0.9,3.8,4.9,2.3,0.1,1.5,3.6,5.4,0.682,6.9,0.436,1.8,0.351,4.6,0.796,0.581,0.542
"Zakai Zeigler","Tennessee","5-9",35,1094.702,5.7,2,7.7,12.8,0.3,2.7,6.5,1.9,0.1,2.4,1.4,2.4,0.519,1.5,0.388,6.2,0.353,3.5,0.719,0.542,0.506
"Baylor Scheierman","Creighton","6-7",35,1267.534,5.6,2,7.6,18,0.7,8.1,3.8,0.9,0.1,2.2,1.6,3.3,0.625,2.2,0.425,8.1,0.381,3.1,0.876,0.596,0.56
"Bruce Thornton","Ohio St.","6-2",35,1177.35,5.7,1.8,7.5,16.5,0.4,3.4,5.1,1.2,0,1.3,1.8,2.4,0.646,5.2,0.419,5.2,0.333,4.6,0.85,0.553,0.494
"Augustas Marciulionis","Saint Mary's (CA)","6-4",33,1104.716,4.2,3.3,7.5,14.2,0.7,3.1,6.2,1.6,0.2,2.3,2.5,6.5,0.524,1.3,0.282,3.6,0.349,3.8,0.759,0.537,0.496
"Drew Pember","UNC Asheville","6-10",28,877.052,6.2,1.3,7.5,22.8,1.5,7,3.6,0.9,2,3.2,2.3,5.2,0.612,2.9,0.373,5.9,0.355,9.5,0.849,0.618,0.529
"Devin Carter","Providence","6-3",32,1126.867,4.7,2.8,7.5,19.5,1,7.5,3.5,1.7,1,2.7,1.9,5.4,0.653,1.8,0.281,6.6,0.379,5.3,0.744,0.599,0.565
"Reece Beekman","Virginia","6-3",34,1113.518,3.9,3.6,7.5,17.1,0.4,3.9,7.4,2.4,0.6,2.5,1.5,5.8,0.567,5,0.394,3.5,0.31,4.4,0.754,0.522,0.482
"Kadary Richmond","Seton Hall","6-6",32,1054.218,4.4,3.1,7.5,16.9,1.7,5.6,5.6,2.3,0.6,3.2,1.9,7.3,0.514,4.7,0.388,2,0.276,5.1,0.807,0.515,0.458
"J'Wan Roberts","Houston","6-7",36,945.883,4.1,3.3,7.4,13.7,3.8,6,2.7,1.8,1.3,1.6,2.9,6.1,0.691,3.9,0.454,0,0,3.5,0.511,0.588,0.596
"Zyon Pullin","Florida","6-4",33,1107.951,5.9,1.5,7.4,14.9,0.7,3.1,4.7,0.9,0.1,1.2,1.9,3.2,0.468,4.9,0.431,2.3,0.449,5.5,0.847,0.576,0.496
"Aly Khalifa","BYU","6-11",29,567.253,4.7,2.6,7.3,10,1.9,4.5,7,0.5,1.1,1.9,2.8,2.2,0.649,1.5,0.25,5.6,0.315,1.8,0.621,0.495,0.48
"Oso Ighodaro","Marquette","6-9",36,1174.718,3.4,3.9,7.3,14.2,2.7,4.6,3.1,1.1,1.4,1.9,2.3,6.9,0.605,3,0.534,0.1,0,4.3,0.623,0.593,0.58
"Cameron Matthews","Mississippi St.","6-7",35,1008.581,2.5,4.7,7.2,11.6,3,5.4,3.5,2.6,0.9,2.7,4.2,5.6,0.736,1,0.429,0.8,0.091,4.2,0.555,0.621,0.632
"Jeremy Fears Jr.","Michigan St.","6-2",12,181.933,2.6,4.6,7.2,7.7,0.4,3.9,7.3,1.8,0.4,2.4,2.9,2,0.545,2.4,0.615,1.1,0.167,3.1,0.647,0.552,0.517
"RJ Davis","North Carolina","6-0",37,1284.332,6.7,0.5,7.2,20.5,0.5,3,3.4,1.2,0.2,1.4,1.7,3.7,0.486,4.7,0.431,7.4,0.398,4.5,0.873,0.569,0.521
"Hassan Diarra","UConn","6-2",36,687.919,4.1,3,7.1,11.3,1.6,4.1,4.7,1.7,0.6,2.1,3.2,4,0.597,0.9,0.353,3.3,0.344,3,0.793,0.582,0.538
"LJ Cryer","Houston","6-1",37,1166.418,4.9,2.2,7.1,18.3,0.8,2,2.2,1.2,0.1,1.1,2,1,0.533,5.4,0.429,9.2,0.388,2.2,0.871,0.551,0.526
"Kenan Blackshear","Nevada","6-6",31,957.934,3.5,3.5,7,17.7,0.9,4.6,5.7,1.6,0.6,3.4,3,4.6,0.61,7.6,0.473,1,0.179,6.8,0.65,0.54,0.504
"Deivon Smith","Utah","6-1",26,743.212,4.8,2.2,7,14.8,1.2,6,8.2,1.4,0.5,3,1.9,6,0.583,3.4,0.342,2.7,0.35,3.8,0.694,0.532,0.502
"Keshon Gilbert","Iowa St.","6-4",37,1151.65,3,3.9,6.9,15.3,0.9,3.9,4.7,2.2,0.1,3.1,2.6,4.3,0.629,3.7,0.293,3.1,0.346,6.1,0.728,0.544,0.486
"Daniss Jenkins","St. John's (NY)","6-3",33,1012.716,5.6,1.3,6.9,16.8,1,2.9,6.1,1.8,0.6,2.7,2.7,3.5,0.51,5.7,0.494,5.4,0.354,2.3,0.851,0.538,0.512
"Kevin McCullar Jr.","Kansas","6-7",25,854.45,4.5,2.3,6.8,18.2,0.8,5,3.9,1.4,0.4,2.4,2,5.7,0.615,3.2,0.312,4.5,0.339,5.7,0.81,0.565,0.507
"Dylan Disu","Texas","6-9",25,648.035,4,2.7,6.7,21.1,1.3,5.5,2.1,1.7,1.5,2.2,4.6,4.7,0.581,6.6,0.393,5,0.451,4.6,0.812,0.572,0.533
"Tristan da Silva","Colorado","6-9",34,1154.881,5.4,1.3,6.7,16.3,1,4.2,2.5,1.2,0.6,1.8,2,4.1,0.613,3,0.485,4.8,0.395,3.1,0.835,0.606,0.573
"Tyson Degenhart","Boise St.","6-8",31,1036.817,4.5,2.2,6.7,17.8,2.3,4.4,1.6,1.1,0.3,1.1,2,7,0.604,1.7,0.38,3.2,0.323,6.3,0.796,0.599,0.539
"Hunter Dickinson","Kansas","7-2",32,1030.513,4.1,2.5,6.6,18.4,2.8,8.7,2.5,1,1.6,1.9,2.4,7.3,0.65,5,0.45,2.1,0.349,3.6,0.624,0.573,0.563
"Achor Achor","Samford","6-9",30,692.149,4.4,2.2,6.6,22.1,2.9,5.6,2.1,1.2,2.5,2.9,4.1,8.5,0.696,2.3,0.367,2.6,0.439,7.4,0.713,0.657,0.633
"Jaylin Williams","Auburn","6-8",34,818.948,4.5,2.1,6.6,17.2,1.5,4.7,2.6,1,1,1.6,2.4,5.1,0.752,2.1,0.462,3.5,0.395,4.1,0.832,0.679,0.643
"Mark Sears","Alabama","6-1",35,1168.55,7.2,-0.6,6.6,20.4,0.8,3.2,3.9,1.6,0.1,2.4,1.8,6.2,0.611,1,0.27,5.4,0.429,6.2,0.859,0.656,0.598
"Juwan Gary","Nebraska","6-6",28,758.333,3.6,3,6.6,14.9,2.8,5,1.6,1.4,1,0.9,2.8,5.4,0.678,1.9,0.381,3.9,0.306,3.7,0.679,0.573,0.551
"Matt Cross","Massachusetts","6-7",28,844.934,4.5,2.1,6.6,17.5,2.8,6.6,3.5,1.7,0.4,2.8,2.5,6.6,0.696,1.5,0.306,3.2,0.329,5.3,0.798,0.633,0.587
"Xavier Johnson","Southern Ill.","6-1",30,1107.549,6.1,0.5,6.6,21.7,0.5,3.7,6.1,1.5,0.2,3.4,2.8,5.7,0.486,3.9,0.408,5.6,0.36,7.8,0.89,0.574,0.486
"Ben Gregg","Gonzaga","6-10",34,807.065,4.3,2.2,6.5,13.1,2.1,6.1,1.8,1.7,1,1.1,3.2,3.2,0.77,0.5,0.5,4.4,0.379,3.6,0.726,0.664,0.643
"Darius Brown II","Utah St.","6-2",33,1219.468,4.9,1.6,6.5,11.8,0.5,3.7,5.9,1.2,0.2,1.8,1.2,2.1,0.562,2.8,0.45,4.4,0.391,2,0.861,0.574,0.54
"Nique Clifford","Colorado St.","6-6",33,1008.351,3.2,3.3,6.5,14.5,1.3,7.7,3.5,1.6,1,2.1,3.3,4.1,0.757,2.8,0.372,3.6,0.38,2.8,0.759,0.614,0.59
"Tyson Walker","Michigan St.","6-1",33,1084.034,4.5,2,6.5,20.2,0.6,2.5,3,2.1,0.1,1.5,2,5.4,0.652,6.3,0.346,5.4,0.374,3.7,0.748,0.536,0.511
"A.J. Hoggard","Michigan St.","6-4",34,969.649,4.2,2.2,6.4,13.6,0.8,3.1,6.5,1.8,0.4,2.3,2.7,4.6,0.568,4.6,0.282,2.5,0.348,3.9,0.783,0.498,0.447
"Donovan Dent","New Mexico","6-2",35,1096.235,4.7,1.7,6.4,14.6,0.4,2.2,5.6,1.6,0.7,2.3,2,7.3,0.585,2.6,0.404,1.2,0.375,3.8,0.682,0.565,0.54
"Dillon Jones","Weber St.","6-6",29,1094.668,5,1.4,6.4,20,0.8,8.2,5,1.8,0.1,3,2.2,6.5,0.618,4.2,0.402,3.3,0.317,6.4,0.845,0.586,0.52
"Ryan Kalkbrenner","Creighton","7-1",35,1215.686,3.9,2.5,6.4,17.7,2.6,5.2,1.3,0.4,3.2,1.5,1.9,8.4,0.735,0.9,0.467,1.6,0.296,4.4,0.711,0.684,0.671
"Tucker DeVries","Drake","6-7",31,1107.866,5.2,1.2,6.4,20.9,0.6,5.8,3.4,1.4,0.3,2.4,1.7,3.3,0.67,5.8,0.418,6.9,0.36,5.2,0.811,0.567,0.522
"Alex Karaban","UConn","6-8",35,1092.267,4.9,1.4,6.3,15.4,1.6,4.2,1.6,1.1,0.9,1,2,4.2,0.706,1.1,0.353,6.4,0.37,1.8,0.87,0.612,0.589
"Jaelen House","New Mexico","6-0",30,885.284,3.8,2.5,6.3,17.5,0.7,3.3,3.8,2.5,0.1,2.1,3.3,4.6,0.488,4,0.315,6.5,0.322,4.9,0.885,0.505,0.44
"Dalton Knecht","Tennessee","6-6",35,1063.953,5.1,1.2,6.3,23.7,0.9,4.6,2,0.8,0.8,1.8,2,6.3,0.589,4,0.376,7.1,0.392,6.4,0.772,0.581,0.54
"Elijah Hawkins","Minnesota","5-11",33,1098.514,4.6,1.7,6.3,10.2,0.6,3.3,8.1,1.8,0.2,2.9,2.5,1.9,0.458,1.8,0.389,4.2,0.364,3.2,0.784,0.543,0.49
"Jaden Campbell","Samford","6-4",30,699.834,4.8,1.5,6.3,16.7,0.8,3.8,1.4,1.2,0.7,1.2,2.2,2.6,0.643,2.1,0.556,5.1,0.495,4.2,0.822,0.709,0.677
"Richie Saunders","BYU","6-5",34,694.9,4.6,1.7,6.3,15.9,2.2,4.6,1.9,1.3,0.3,0.7,3.7,4,0.756,2.8,0.466,4.8,0.364,2.9,0.712,0.614,0.598
"Oumar Ballo","Arizona","7-0",36,931.634,3.3,3,6.3,16.3,4.5,8.3,1,1.2,1.7,1.7,2.6,8.7,0.688,1,0.464,0,0,6.7,0.495,0.63,0.665
"Payton Sandfort","Iowa","6-7",34,1012.631,6.2,0.1,6.3,18.1,1.3,5.9,3,0.8,0.5,1.5,2.8,2.2,0.627,2.9,0.494,8.1,0.379,3.6,0.911,0.608,0.562
"Quinten Post","Boston College","7-0",35,1114.783,4.3,2,6.3,18.7,2.2,6.7,3.1,0.9,1.9,2.7,3.1,7.3,0.61,2.7,0.365,3.6,0.431,3.9,0.821,0.607,0.572
"Vladislav Goldin","Fla. Atlantic","7-1",33,831.031,5.8,0.5,6.3,21.3,3.4,6.1,1,0.7,2.3,2.3,3.1,9.8,0.686,2.2,0.604,0,0,7.7,0.663,0.677,0.671
"Andersson Garcia","Texas A&M","6-7",36,1022.217,3,3.2,6.2,7.5,5.4,5.9,1.9,1.6,0.9,1.1,3.7,3.1,0.618,0.2,0,0.7,0.45,3.9,0.705,0.642,0.596
"Ben Humrichous","Evansville","6-9",21,627.55,6,0.2,6.2,17.3,1,4.1,2,0.9,1.1,1.3,1.3,3.5,0.662,2.7,0.449,5.8,0.435,3.5,0.754,0.633,0.61
"Chris Manon","Cornell","6-5",27,626.801,2.9,3.3,6.2,18.7,1.7,4.6,4.4,3.2,0.8,3.2,5.1,7.4,0.693,2,0.421,3.7,0.338,4.3,0.713,0.619,0.599
