"Name","Class","Team","Conference","Height","Pos","GP","MP","OPPM","DPPM","PPM","WAWO","DWAWO","PTS","ORB","DRB","AST","STL","BLK","TOV","PF","RIMA","RIM%","MIDA","MID%","3PA","3P%","FTA","FT%","TS%"
"Johni Broome","Sr.","Auburn","SEC","6-10","C",31,935,9.3,4.3,13.6,9.5,3.1,23.8,4.1,9.1,4.2,1.1,2.9,1.5,2.2,11.2,63.5,3.3,44.2,2.8,29.8,6.8,60.7,58.5
"Cooper Flagg","Fr.","Duke","ACC","6-9","F",32,980,7.4,6.1,13.5,9.6,4.1,23,1.7,7.6,5.2,1.8,1.7,2.6,2.3,6.9,65,4.2,40.6,4.3,37,7.1,83,62.3
"Kam Jones","Sr.","Marquette","Big East","6-4","G",32,1070,8.5,3.3,11.8,9.9,3,21.3,0.6,4.4,6.6,1.5,0.3,1.8,2.2,8.4,65.7,2.2,45.5,6.5,31.9,3.1,64,57.5
"Aniwaniwa Tait-Jones","Sr.","UC San Diego","Big West","6-6","F",32,982,7.5,3.3,10.8,8.5,2.8,23.5,1.7,4.8,4.4,1.3,0.6,2.4,2.3,9.9,67.3,1.7,27.9,1.6,30.4,10.1,76.4,66.5
"Max Shulga","Sr.","VCU","Atlantic 10","6-5","G",32,1066,6.1,4.3,10.4,8.8,3.5,16.4,2,4.6,4.5,2.1,0.2,1.8,2.1,3,58.4,2.4,37.9,5.6,38.8,5.8,78.1,60.4
"Nique Clifford","Sr.","Colorado St.","MWC","6-6","G",33,1164,6,3.9,9.9,9.3,3.6,19.7,1.5,8.6,4.5,1.3,0.7,2.6,2.3,4.5,67.2,4.3,47.7,4.9,39.9,4.7,76.2,62.1
"Walter Clayton Jr.","Sr.","Florida","SEC","6-3","G",31,1001,6.7,3.1,9.8,8.6,2.9,18.4,0.4,3.8,5.2,1.4,0.6,2.2,1.8,3.6,65,2.2,42.3,8,38.1,3.2,84.6,60.5
"John Tonje","Sr.","Wisconsin","Big Ten","6-5","G",33,1014,6.4,3.1,9.5,8.2,2.8,23.5,0.9,5.6,2.1,1,0.2,2.2,1.9,4.6,64.5,2.2,43.4,6.7,40.7,8.2,91,68.6
"Kon Knueppel","Fr.","Duke","ACC","6-7","G",34,1036,6.3,3.2,9.5,8,2.8,17.6,1.3,3.8,3.6,1.3,0.3,1.6,2.5,3.9,65.6,1.3,46.2,6.5,39.3,4,91.4,65.5
"JT Toppin","So.","Texas Tech","Big 12","6-9","F",28,739,7.2,2.3,9.5,5.7,1.6,26.5,4.5,8.4,1.7,1.2,1.9,2.1,3.1,11.5,68,5,43.6,2.3,31.8,6.2,70,61.6
"Bennett Stirtz","So.","Drake","MVC","6-4","G",31,1246,6.6,2.8,9.4,8.7,2.8,19.2,0.7,3.8,5.7,2.1,0.3,2.1,1.5,4.4,70.7,4.3,36.4,4.7,38.3,5.5,79.4,60.5
"Milos Uzan","Jr.","Houston","Big 12","6-4","G",33,1028,5.8,3.6,9.4,7.4,2.8,14.3,0.5,3.5,5.9,1.3,0.1,1.7,2.5,2.1,54.9,4.7,47.3,4.5,43.6,2.2,75.9,58.2
"Amari Williams","Sr.","Kentucky","SEC","7-0","F",32,723,5.1,4.2,9.3,6.2,2.6,16.5,3,9.9,5.3,0.8,1.9,3.2,2.9,6.6,71.1,2.4,42.4,0.2,25.3,7.7,64.7,65.7
"Henri Veesaar","Jr.","Arizona","Big 12","7-0","F",33,685,5.3,4,9.3,5.6,2.3,17.6,3.8,5,2.2,1.4,2.1,1.7,4.3,7,77.9,1.1,38.9,2.2,35.9,4.8,70.3,70.5
