"Team","Ortg","DRTG","Rtg","EFG%","dEFG%","TO%","dTO%","ORB%","DRB%","FTR","dFTR"
"Duke",20.7,14.8,35.5,56.8,43.3,15,16.9,33.4,78.8,31.5,26.7
"Auburn",21.7,11.5,33.2,56.8,43.9,13.9,17.2,32.8,75.8,32.4,35
"Houston",14.6,14,28.6,53.5,44.5,14.6,20,35.1,77.9,27.3,33.8
"Florida",16.4,12.1,28.5,54.7,44,15.4,16.9,35.2,75.4,31.6,29.7
"Gonzaga",16.9,9.4,26.3,55.1,46,14.6,16.8,30.3,78,30.9,28.8
"Tennessee",11.6,13.7,25.3,53.2,42.4,15.8,17.6,32.8,77.3,32,27.4
"Texas Tech",16.9,7.1,24,55.6,47,14.9,17.4,31.4,76.1,29,32.6
"Alabama",15.9,7.8,23.8,56.7,45.2,16.3,15,33.3,76.9,37.9,31.3
"Arizona",14.8,8.3,23.1,53.2,46.7,16.2,16.8,34.5,77,35.3,29.6
"Iowa St.",11,12.1,23.1,53.7,46.9,16.4,20.3,29.4,76,38,29.2
"Maryland",10.8,11.7,22.4,53,45.6,15.4,18.3,29,76,32.2,26.7
"Kentucky",15,7.1,22.2,56.6,47.4,15,15.2,27.5,77.5,34.6,29.5
"Saint Mary's (CA)",10.9,11.2,22.1,50.7,45,15.1,16.6,36.6,77.7,31.3,26.6
"Wisconsin",13.7,7.3,21.1,54,46.9,14.8,15.5,25,76.8,34.2,27.2
"Michigan St.",9.9,11.2,21,51.6,44.3,16.2,16.3,33.5,78.1,36.2,31.1
"Clemson",11.7,9.2,20.9,53.5,47.6,15.8,18.5,31.8,74.4,28.5,26.6
"St. John's (NY)",7,13.8,20.7,49.9,45.4,15.9,19.8,35.1,74.9,31.7,30.9
"UConn",15,5.5,20.4,54.9,46.5,16.3,15.8,34.4,77.9,32,37.6
"Missouri",13.8,6.2,20.1,55.7,48.8,15.3,19.1,31.1,71.5,41.9,33
"Illinois",12.1,7.9,20,52.8,44.9,15.5,14.3,33.6,77.3,33.8,26.4
"Purdue",14.9,4.7,19.7,57,49.6,15.5,18.1,28.3,74,33.3,29.7
"Louisville",10.4,9.1,19.5,53.3,47.7,16.4,18.3,30.3,76.2,33.3,26.6
"Kansas",8.1,11.3,19.4,53.7,43.9,16.2,15.9,27.9,77.7,26.2,27.3
"Marquette",10.5,8.9,19.4,52.6,47.9,14.3,19.7,29.1,73.7,28.3,29.5
"UCLA",9.6,9.8,19.4,53,48.2,15.9,21.1,31.5,73.7,32.4,32.7
"VCU",9,10.4,19.4,51.7,45.2,16.6,18.8,34.5,73.6,31.5,35.4
"BYU",13,6.2,19.3,56.7,49.2,16.6,17.1,30,77.8,30.3,30
"UC San Diego",8.8,9.5,18.3,53.4,48.8,13.9,20.7,22.6,76,31.4,29.4
"Utah St.",13.8,3.7,17.5,55.1,50.7,15.8,18.9,30.4,73.4,35.3,31.8
"Ole Miss",9,8,17,52,48.2,13.1,19.1,23.6,75.1,34.1,35.6
"Texas A&M",6.9,9.8,16.7,49.4,45.9,17.1,18.5,38.4,77,38.3,32
"Xavier",9.7,6.7,16.4,53.7,49.1,16.1,17.2,22.2,78.3,36.7,29.1
"Baylor",10.6,5.6,16.3,52.5,49.5,15.5,18.4,33.4,74.4,31,33
"Oregon",9.8,6.6,16.3,52.7,47.6,15.2,17.2,28.7,74.4,33.1,26.2
"Mississippi St.",10.2,6,16.2,52.2,49.4,15.2,18.3,32.1,75.5,31.2,31.3
"Creighton",9,6.8,15.8,56.1,45.2,17.4,12.8,25.7,77.6,29.2,20.7
"Michigan",7.5,8.3,15.8,54.5,45.3,18.6,16.6,30.9,73.8,34.6,27.2
"Ohio St.",10.7,4.8,15.5,53.8,46.1,15.5,17.2,27.2,72.8,34.6,36.8
"Georgia",7.4,7.8,15.3,52.9,45.7,17.7,17.5,32.9,73.6,37.9,28.5
"Arkansas",5.8,9,14.9,52.7,46.7,16.4,17.3,24.6,76.5,33.8,28.5
"North Carolina",10.6,3.8,14.4,54.9,48.5,15.9,15.6,27.4,77,34.1,29.6
"Drake",7.1,7.2,14.3,52.3,50,16.6,20,34,76.2,39,34.4
"Villanova",12.1,2.2,14.3,54.8,49.2,15.5,15.8,28.8,76.4,28.9,30.7
